OBJECTID,plz,einwohner,SHAPE_Length,SHAPE_Area
1,81248,121,9358.74903,4455346.783
2,60315,0,857.6732225,42489.68048
3,24988,3350,52394.44942,109166268.2
4,93185,1786,71187.70008,76615246.41
5,93489,2622,62340.46544,90115006.39
6,93494,2018,58092.4903,59003238.25
7,93473,1931,50309.45353,66308556.07
8,99331,4523,46792.8482,50351732.56
9,60312,0,267.0653183,4446.401032
10,98694,7028,122071.0265,199537109
11,39628,3147,109766.5773,339071239.4
12,64760,10491,134601.7275,392872378.9
13,35647,4855,71649.63417,110283979.4
14,31195,5876,93723.75578,185587953.7
15,31084,4892,70285.57486,139853227.6
16,27639,17093,126536.4809,513231546.5
17,99707,4281,137991.2586,329483795.5
18,93413,16528,136093.9215,188807672.5
19,93499,1812,50562.79744,50473077.35
20,25867,21,14100.55593,5784603.35
21,82475,0,16446.93835,14133180.26
22,49593,7845,61426.96656,114753675.3
23,93477,865,44720.35891,35998605.5
24,24367,940,28781.29226,29037790.4
25,60306,0,510.6040087,13993.42205
26,49849,1647,44335.47699,127325863.6
27,93444,7150,92126.20299,145345728.6
28,93488,1971,70474.64402,102778981.6
29,4862,5193,90384.46083,295101646.4
30,38473,1260,32744.92951,44131262.06
31,9634,602,23097.15295,19638434.09
32,16552,6103,25991.05292,17872308.21
33,29579,757,29098.39232,30312679.4
34,93466,2621,59377.26023,54812187.29
35,93189,1194,44325.11955,24549525.37
36,99819,1609,46223.3369,45846037.5
37,93497,2081,28940.169,24173381.89
38,93476,1951,39125.30886,39718484.36
39,93437,9044,89353.51454,157595799.5
40,49610,12199,43974.01265,50137450.6
41,38476,1021,40710.2996,53531874
42,93480,1957,38632.18114,56768147.94
43,93453,3834,74730.03507,140443221.6
44,93491,2185,60786.69713,101895889.1
45,49699,4713,59466.5048,180113326.9
46,38556,971,30602.27589,39015451.6
47,49696,7729,89509.97055,281018068.5
48,93468,2276,65940.24248,58965769.18
49,93192,2813,85104.47455,88172612.7
50,93479,1527,35656.28211,23845611.33
51,93449,6784,104376.7436,238409027.8
52,93483,948,29157.65026,21458141.58
53,49692,6881,79313.7702,208483637.9
54,35687,1986,27067.17789,30812879.1
